"id","escolha","tempo_carro","tempo_transporte_publico","tempo_bicicleta","custo_carro","custo_transporte_publico","custo_bicicleta","renda","idade","genero","ocupacao_empregado","ocupacao_autonomo","educacao_fundamental","educacao_medio","educacao_superior","possui_carro"
35,1,52.5743268494696,61.0397713455122,73.542964054639,8.82813708685905,4.95103785796425,1.87520250218583,9841.51286602777,40.9728932636003,1,1,0,1,0,0,1
36,1,19.2448698138999,30.0272940753204,28.4269252922256,11.2187870128874,6.41189137139438,2.42091486348912,9154.03106099973,36.7439045548105,1,1,0,1,0,0,0
37,2,33.2331148743076,45.1653950113094,55.8958468671006,21.7209524661349,9.23518698640162,4.51781496643673,4383.03005054488,38.3331401588446,1,0,1,0,1,0,0
38,1,32.2363860873522,34.2059123228471,42.4730428135211,11.8926292600592,7.88342849412411,3.44492186513471,11593.5536600421,27.1126822119135,2,0,1,1,0,0,0
39,2,8.78688525080052,4.65637022750265,12.8573176924705,4.08906360630424,2.69399010378277,-0.58083256402448,11873.4237999706,66.2112050243095,2,1,0,1,0,0,0
40,2,45.5418391033838,59.2568409972878,72.1689346352376,6.93263903651234,3.88466176605674,0.99049149286695,12449.2148075616,47.7052366937725,2,1,0,1,0,0,1
41,2,48.0899790030038,49.5431264282673,72.706203193889,5.38911076505337,2.41320660121286,-0.314141058803172,4329.21429256522,47.4096850261604,2,1,0,0,0,1,1
42,1,39.58414052177,52.570573653795,57.5945496089356,6.59945914195501,2.83203507351397,1.11476761717333,6760.47609688691,40.042837889544,1,0,0,0,1,0,1
43,2,56.3724485354928,67.4742985265671,80.4197521905036,4.43349648106513,1.20123215266174,-0.286936836151905,6771.25740136312,39.9103718183692,2,1,0,0,1,0,1
44,2,34.0994275938514,44.389752081692,50.787108524808,-3.75509341489743,-2.23116268891664,-0.996995074497406,6646.50584521338,46.1362172049605,2,0,1,0,1,0,1
45,2,24.4757843337106,33.7910793262984,44.0818711108647,16.0143944951434,8.26835630893537,3.48079075293705,6305.90314481557,43.2124639950158,2,0,1,0,1,0,1
46,1,51.4922703883308,68.4667537986797,75.2980495583174,15.9602490553847,7.29889881112148,3.81523740649665,6319.96899650989,47.3666531627692,2,0,1,0,0,1,1
47,1,32.8291023571999,41.4780217088372,47.4358534830466,10.4963973876533,4.7662244838952,1.9234034415686,5088.32579902339,32.6651868985478,1,1,0,0,1,0,0
48,1,66.6615189258188,78.7314552765254,101.531192746903,7.65721609827709,2.47079450181421,1.54773957200329,6311.52936147971,53.258196942146,1,0,1,0,0,1,1
49,3,38.5283069607998,48.0637112293094,58.8092980606863,7.12691020602352,2.72349860479179,1.37255783647429,7003.89067010534,20.3192932700148,1,1,0,0,0,1,1
50,1,54.8347182510331,67.7755933843488,90.9334960331059,14.3924060161105,8.09851834082481,2.4751772841282,8580.95032924789,59.9121256777219,2,1,0,0,1,0,1
51,2,49.8288789780592,58.0692005390955,84.066969407268,13.3593814432763,4.85568922279483,2.68291656894642,9816.92856881666,37.0140734693814,1,0,1,0,0,1,0
52,2,33.2424158867944,39.8611751849455,44.0582871655124,14.5298614785193,7.26530280820914,1.35632894204003,10873.620798275,40.4847938860487,1,0,1,0,1,0,1
53,2,68.6359127968797,86.5500622996533,106.104483140937,12.0290276623446,5.491850522574,1.00758809083452,5597.54468304681,37.3020920510892,1,0,1,1,0,0,1
54,2,54.6434895857597,67.9843384059623,84.4947601149753,15.7139034905791,7.88228171198834,2.8299391544622,8127.64596681573,27.8833758865495,1,0,0,1,0,0,1
55,1,46.3464096989941,49.5841352979858,69.7715555248982,14.5868036669156,8.29271727715131,1.16722314012208,15007.1025860402,32.4021526455318,1,0,1,0,1,0,1
56,1,49.1482612093719,53.9199262434671,75.0015731376251,15.3498742211233,7.35094716887195,3.64600708170234,6614.39763253405,56.1973883491399,1,1,0,1,0,0,1
57,1,55.1893322408291,65.5377591046193,87.7734810852695,14.9757676840321,7.23368993312573,1.61500207497448,10221.289718122,62.8875367355547,2,1,0,1,0,0,0
58,1,46.3474932986862,52.3016208319225,73.8019193455351,21.9713144456747,10.596903536939,4.29205433875859,5904.9660179532,25.3190388208743,2,0,1,0,0,1,1
59,1,0.103648752705979,8.70071829628506,-5.07911143693427,5.66979232677298,2.26230624310384,1.02927408596988,11196.1067043669,42.2629855387202,2,1,0,1,0,0,1
60,1,49.2732443029599,65.1930158916472,79.7454549747321,21.04994812068,11.1193161198239,6.04128732037687,9636.55046401629,31.548479884217,2,1,0,0,1,0,0
61,1,39.4914803588854,47.3198504624632,66.8063035489711,9.99474806006956,4.95342899396243,1.03076722872665,5245.37203927038,39.0837963903003,1,1,0,1,0,0,1
62,3,47.7784584729841,56.4787431762825,74.1900815233373,11.6101155370894,5.45946999229602,1.05635562121363,11075.5740310282,42.182459415231,2,0,0,0,0,1,1
63,1,53.7273559104826,64.6501522015914,67.3221051612998,12.4864892322804,6.0753233216925,4.12367392150246,11377.2152087184,31.7897720588019,1,0,1,1,0,0,1
64,1,65.9960524093902,68.9810208580454,106.147510477697,9.31071122676695,4.65599741402706,0.0738252752149684,10648.4011549952,41.4476156289832,2,1,0,0,0,1,0
65,2,34.090619107883,40.8915409597129,43.7517124169754,-3.3228417015958,-0.313632460697095,-1.0882860295326,-304.235832552071,58.01689996215,2,0,1,0,1,0,1
66,1,64.5381394806622,76.6556547694954,104.730849418259,10.1224047892859,3.66552098707836,3.04152035199899,8431.47973656879,25.0287593049624,1,1,0,1,0,0,1
67,1,50.0377217962811,57.7581519528702,74.5954857658861,12.2482989122418,6.25874866481586,2.44395895488912,12559.6493754554,33.2257867445315,1,1,0,0,1,0,1
68,1,60.5775914804643,68.1498356903101,86.7482744178853,1.57363163197428,0.0103428588125252,0.453414994092153,7486.0517659368,41.5665057973209,2,0,0,0,1,0,1
69,3,58.8109285243597,64.9676868637374,79.976072176819,15.2996379581903,7.74611046196995,4.33325372976749,6025.56500204615,42.4811487111973,2,1,0,0,0,1,1
70,2,55.8131724430029,60.687847245283,88.4413059558313,8.41635784444007,4.42147012855792,2.2354660843075,7537.11619374084,38.8110137785162,2,0,1,0,0,1,0
71,1,29.3532159214822,40.1357340133014,42.2451420636379,20.6864508362193,11.2735631620889,2.8343617733028,850.882050989889,42.1596083659363,2,1,0,0,1,0,1
72,3,43.6472042008394,54.5622573024378,64.6607300080319,13.5892086855856,6.50687627449038,2.89312617031774,4585.10872615519,36.025143526393,1,0,0,1,0,0,1
73,3,54.3527724299932,66.2199271609441,82.1530496063207,7.26730315330517,2.86103167901786,0.654478437569724,7738.23340156238,40.2797936790292,2,0,1,1,0,0,0
74,2,30.6971496334148,45.116714414292,44.6033679133962,13.0063933240292,7.58456600472569,3.29483498640896,10505.9801619326,37.1756163783328,1,1,0,1,0,0,1
75,1,36.8575677813921,44.6108503202066,49.3768206866826,13.5454986492076,5.35433120550934,2.84514333336933,8636.33260457452,48.9974024923312,1,1,0,0,0,1,1
76,2,53.7149474652252,53.9510508074462,68.6077818987192,17.4722842047019,10.9801259612892,3.49625765424647,9924.03890421366,46.5265953771454,2,0,1,1,0,0,1
77,1,56.5226810675189,69.3224945168765,89.0404270732678,11.0587657046708,4.06990824564653,0.313037853032769,4903.69709664231,37.7709237664903,2,0,1,0,1,0,1
78,1,51.9565138281025,62.7102274570682,82.6437952432377,-0.200254250682519,0.850324118620945,0.51538893371407,12457.3119612593,53.7575224769373,2,0,0,1,0,0,1
79,1,31.7133555388548,40.3449674939481,46.1408160440436,4.20200506152855,3.72742795586984,1.14958237968637,11571.4287418337,40.0446338696541,2,1,0,1,0,0,0
80,1,28.5032865202822,43.530609163645,39.5679333262509,6.85649604042579,1.58326656505737,-0.163564669248571,9851.68019442931,44.9457992664055,1,1,0,1,0,0,0
81,2,67.6906051470739,70.781793893253,106.614029572324,14.5575917672171,5.62710164921242,2.17408413695204,7481.18502660239,40.734858499972,1,0,1,0,1,0,1
82,3,48.8688215629805,60.0882858592466,69.4919004030466,10.2909824214915,6.4947262328245,1.4997763502251,10584.7413222709,30.6504816128322,2,1,0,0,1,0,1
83,1,46.3266034373938,58.5307491072862,72.3640241404417,8.31378874818083,3.48213666062359,2.27420306832906,6139.74222636668,46.8083615963675,2,1,0,1,0,0,1
84,2,43.1865519369137,60.170212411247,57.9846283418694,6.9306550070551,3.77297550145434,-0.182409355372146,5365.36085819479,15.7939776496262,2,1,0,0,1,0,0
85,3,27.0850665725921,49.36087895034,45.1374391392903,12.9221697433132,10.7891761455095,1.30659003124728,1314.21455937138,26.3774619227532,2,1,0,0,1,0,0
86,3,54.1799534706058,70.8442952275712,82.7588563885493,6.89140634533087,3.29374221657373,1.79866157642871,8579.78967580251,45.5315176286035,1,1,0,0,0,1,0
87,2,41.7429023138022,51.911356921134,62.6004653047423,9.61247356234269,4.94574983211856,1.94699889293981,1062.02984917908,52.8833315525773,1,0,1,0,1,0,0
88,1,42.2586494050212,55.1626645462325,62.2296690728168,6.36013664231428,1.70029498469972,0.928873147769727,7926.99862359281,19.9171633144364,2,1,0,0,1,0,1
89,2,59.0001949285674,77.8245769388492,94.3780863929819,3.67047755148349,2.34039034480869,1.00479116360652,9324.02176771716,52.1911627245547,1,1,0,0,0,1,0
90,2,57.3265966576237,64.6940220267996,91.8779287326166,17.7311075331804,7.23111621435763,3.29454729860521,10368.7302613087,21.989737287646,2,1,0,0,1,0,0
91,1,65.8817456390141,74.4845763897118,105.322130918335,4.09502717980571,2.82454067540275,-0.99836547211903,11065.4588800482,30.8441564718114,1,0,0,0,0,1,0
92,2,37.8573911541799,41.445553250705,68.7380008891956,12.4381748769577,4.53559129239555,1.29052115527964,9845.78347861129,22.0460940195634,2,1,0,1,0,0,1
93,2,54.7552284108946,58.6460089889774,78.8820698393495,8.59088490858978,3.09016707873627,2.20437707176598,5421.26643149423,35.8146389765934,2,0,1,0,1,0,0
94,2,65.86665684585,71.8742934881194,94.0329567134138,5.64929598729701,1.96694861422037,-0.0313720872061045,10672.2469291069,38.5896625356479,2,0,1,1,0,0,0
95,1,28.3381668082815,31.1717067778981,52.8720512545792,13.5558812305024,7.52636458073375,4.15754437380972,8189.82424246221,42.9449171793609,1,0,1,1,0,0,0
96,1,32.0881111968324,43.0535483125267,49.0625036826338,14.238807027115,8.54002889250904,4.33052194460207,2406.01683332008,32.9317574433788,2,0,1,0,1,0,1
97,1,28.0239197871934,45.335641943504,48.4105399114635,19.5880006157049,10.8813691069148,2.44670979529305,7660.5894472304,37.7641560831864,2,1,0,0,0,1,1
98,1,23.1117900074641,27.3681784672585,35.8331032705679,13.9513499764096,5.46120815957594,3.84021051970952,2649.84087237452,41.6361971040061,1,0,1,1,0,0,0
99,1,46.1997382986174,45.4954321212752,62.5200780652909,11.1691960829502,5.24346963106528,2.36829113827111,4839.52867782901,26.330931878539,1,0,1,1,0,0,1
100,2,54.7980650947379,66.7039385061989,87.631900625648,27.6148133836788,13.1794069218657,5.77620214889474,6141.93596808601,29.5861393566009,2,1,0,0,1,0,1
101,2,63.0144806339774,68.3564079817195,97.5108241719327,8.09829342907251,2.63894959308022,1.69992986222633,6239.18427044258,54.5411828072851,2,0,1,1,0,0,1
102,2,60.6712663075159,63.8811697759262,85.0373915717118,5.98090063011983,2.97819004637857,1.55627115454853,10780.9271958308,2.5623522369949,1,1,0,0,1,0,1
103,1,29.9518702974023,39.0642099857962,42.6654655355511,8.78931652275313,5.18907403528128,1.35868553489713,7803.7824639875,49.4700387562329,1,1,0,1,0,0,1
104,2,72.7272285250912,87.1175252745461,107.462597804573,11.3375125993393,6.0305167938057,1.69838071072346,5188.66472367451,50.7204108190463,1,1,0,1,0,0,1
105,1,34.9983988686327,38.990824913714,52.6405775268193,15.6025810158814,9.35983084074053,4.86585709468177,6098.42169871575,54.2115267919827,1,0,0,0,1,0,1
106,1,46.582707186841,54.4539480575749,67.1238942373362,14.4950703575921,7.2288876983961,2.02521764358783,6274.3271419548,33.1813311058561,2,0,1,0,0,1,1
107,1,38.6661617719672,49.7833383120399,55.2930743583239,11.365496119938,5.27648026433486,1.57186406061062,8564.663125278,48.0798437622479,2,0,1,1,0,0,1
108,2,43.1647474206754,54.6482491330266,65.8154439037569,6.86062477052327,3.60815774999097,0.254946136407952,9618.96792338879,40.5852710927412,2,0,0,0,1,0,0
109,2,47.8228955175225,54.1041484213852,72.1824010799866,18.763964005933,8.92958454060471,4.03324604398857,6737.34779102896,30.3442735765011,2,1,0,0,1,0,1
110,1,46.7874143699551,55.1332979912714,59.0482272427953,17.4976897286907,8.93926159919244,2.87142707503269,6981.60032006874,44.6341757846083,2,1,0,0,1,0,1
111,2,44.623611736989,57.1768971644784,62.7557513029216,7.65372244365383,3.59020647144821,1.62252851355939,9554.24116508976,42.444209899889,1,0,1,1,0,0,1
112,1,46.6210909191305,60.6817137778424,68.2265521810287,16.1206745254485,8.18584212185128,3.53527737003737,5391.83713696033,33.3317147896141,1,0,0,0,1,0,1
113,2,37.7184714623,44.111001393989,59.1170762501599,14.7005147498677,6.54419195094728,5.40972095457871,7517.98725753552,32.4788858164251,2,1,0,0,1,0,0
114,2,37.4367430396814,43.0519139135307,58.8114074110905,18.2713296366302,9.36584522612491,2.36602420447156,7572.14964018488,34.8093656793528,1,1,0,1,0,0,1
115,3,20.0835138012778,28.4261342071481,28.0802122271336,12.8977742066246,7.77209066081932,3.78904324685306,5704.36709646739,44.0172963598588,2,1,0,1,0,0,1
116,2,39.2649940968927,45.1050609897333,54.8468465887833,5.15359708079584,0.557764738538824,1.1579020779203,6020.59828604896,37.3717660761246,1,1,0,0,1,0,1
117,2,37.310246131833,57.9977557787831,53.8050770393557,16.8149964145179,7.56984780624278,2.14391096085312,7077.78367875967,21.7739438783687,1,1,0,0,0,1,0
118,1,85.528365005172,110.821963202088,127.781554570506,7.62770081418332,3.83501285942837,3.47295573463427,5354.21764938195,41.7029423612685,2,1,0,0,0,1,0
119,1,24.5682565321542,34.1027086706869,35.5805818116242,15.1632557143709,6.6025853315392,4.42050072713148,7713.96452375472,33.5960431542362,1,1,0,1,0,0,1
120,1,47.0588432783791,50.3064634856007,69.8181223680043,22.0408726332739,11.9478355590062,4.91048071377867,4172.09188077769,47.1297830783394,1,0,1,1,0,0,1
121,3,22.5956239902556,37.0646119339231,33.1213741421556,3.48703187837501,1.57404757113091,2.5507878494146,9126.75495189442,23.4946605022663,2,1,0,0,1,0,1
122,1,22.943463878448,30.6835382189158,22.9049959993907,21.3714648070134,11.1522047489257,4.61335328457556,6592.30888221093,15.0973192157146,2,0,0,0,1,0,1
123,2,46.8705357929551,52.4694018328157,77.6355942549882,20.1189660535085,10.1329670896992,3.73271139551333,10396.7996108576,32.0270073677016,2,1,0,1,0,0,1
124,1,30.0504129767394,34.7773253140256,38.6321544370576,8.82781933985065,2.53545176728567,2.74401331913588,9278.86459777614,30.3554658724358,1,0,1,1,0,0,1
125,1,44.9726607854294,58.8210221822218,61.4063304353466,10.4923633471243,3.69579571362126,3.36935375883833,6463.60396041948,46.1147831843659,2,1,0,0,0,1,1
126,1,38.5761167786128,41.9319070235898,56.5223587126244,7.88491388224501,4.22728182730413,-0.251281341170277,6957.4533890728,15.567067636904,1,1,0,0,1,0,1
127,3,35.7949259032576,37.0304403909882,57.1093512641555,8.57779408647527,4.15072347276159,2.10043238710041,9828.17823916092,25.1773701649297,2,1,0,1,0,0,1
128,1,14.6298323187134,22.3561346728223,20.3464028235609,15.4777882892769,8.65218011072852,4.1677328739841,10206.3929541101,36.4879350087877,1,1,0,0,1,0,1
129,1,26.6287807446002,36.9351383647442,43.1690462378363,6.60624596848731,4.23529936384905,1.86399297993111,9430.12568201997,29.164586978856,2,0,1,0,1,0,1
130,1,47.6927466167691,61.5473518584967,69.4806204878649,10.8580206725233,3.65604978451114,1.87690861397102,8984.85730034586,35.7050982897861,2,0,1,1,0,0,0
131,2,53.514308916353,71.1105583112242,79.312416013496,11.1365797359212,5.42595341556924,1.67317230253024,2656.19757423914,23.6203968393836,2,1,0,0,1,0,1
132,1,37.6068396966979,48.4448489481319,52.0957981371982,11.4205640922747,6.26581801066299,1.94588559876405,8358.1892640362,28.1089445779271,2,1,0,1,0,0,1
133,3,45.0009432609803,48.1100121345485,65.0181485573758,13.0886802943341,7.26089495547921,2.80240097691506,3745.11388395044,26.9656079459052,1,0,0,1,0,0,1
134,2,61.8433446506995,73.7430085227822,83.6261433866291,21.5794452551179,11.5435789497176,3.99757561317114,8228.10313296163,17.0735798753372,1,1,0,1,0,0,0
135,2,66.5978361446429,81.8791054222425,98.3141900952855,9.29200956063926,5.18125323904408,1.95854382960708,6017.50027336745,42.5964490911412,2,0,0,0,1,0,1
136,2,28.5432934739127,34.6151916300715,33.21212758083,7.23071865119509,5.57755468595447,2.04094005970547,7683.48186182459,31.5071669208519,2,1,0,1,0,0,1
137,2,43.2402065962473,48.828418565591,65.6736038247039,16.7537060979138,6.94549645845282,4.09729502412356,4459.74233723923,31.3287068259819,1,1,0,1,0,0,1
138,2,63.0224760137955,72.9308235292386,108.563016238847,14.2828337985662,5.7864209788175,2.7069413570818,7506.92244061179,51.3075023753302,1,1,0,0,1,0,1
139,1,37.9540562915055,55.6522157299051,47.4215338099185,13.4147278979547,5.67232004885531,1.7350339458658,12558.3223229528,46.0129231380412,1,0,0,1,0,0,1
140,1,44.2129577259151,56.3600749949555,59.4531424238603,15.5459295811225,8.76665164239851,3.02580413924973,13475.4952345209,29.6758515636562,2,0,1,0,0,1,1
141,1,43.7083905264437,57.2026661245311,64.0941472610412,3.52841878752667,3.61700101411876,0.802079926943735,534.080449539404,48.5599136565438,2,1,0,0,1,0,0
142,2,31.6848147314035,34.8437711953771,43.0716121644368,18.3797747537467,9.21670269488561,1.60082660196896,3037.0332488308,33.4523197137378,1,1,0,0,1,0,1
143,1,38.3297399267289,54.1976072481311,58.675135525963,14.7235072733855,6.40952808824647,1.04345749007306,3737.43415588425,32.8250164087555,2,1,0,1,0,0,1
144,1,44.5583268136764,50.0238564555571,75.5856873416936,17.7078778621187,7.74607035410804,3.25350324049984,4171.11030124448,39.9973363961842,1,1,0,1,0,0,1
145,1,38.7919672641311,47.9147717272332,64.6936247292767,8.4088937195909,5.07712977071411,0.891772916423444,14237.3023981177,39.6862352560015,2,1,0,1,0,0,1
146,1,61.7007903505231,68.4186091872214,89.1451100426639,0.948359697923179,0.790625874014174,-0.283395176884114,11046.6080620469,36.7094447281394,1,1,0,0,1,0,0
147,3,37.7851073751903,45.7109439338968,62.650433175016,9.0924628011124,4.86277945621167,1.13984877690548,7671.16155147488,34.9761486882618,1,0,1,0,0,1,1
148,3,38.5024645109891,44.4240680840656,62.0082306088323,6.55891910985962,1.10306817823381,-0.840007502666831,10944.5566430879,42.8002446133683,2,1,0,1,0,0,1
149,1,55.4529386482815,69.8039954911456,85.9572346519036,25.3365746844263,10.570005245991,4.79030312128048,14784.0416204319,49.9300427635056,2,1,0,1,0,0,1
150,2,29.1544738024364,37.2642755359121,39.3145606612468,9.51920054174292,5.03079201210563,1.47455801143185,9911.26977141068,33.2735169205389,1,1,0,0,1,0,1
151,1,44.3895228727318,49.1361540930878,70.7060131721216,10.7059569197721,7.3897781663867,1.80546158142199,13326.609628541,55.4211473045631,1,1,0,0,1,0,0
152,2,21.7268276647862,45.9350961536558,36.0298100602293,18.3778711204269,9.15495802890729,2.91796176683214,4557.49535759059,27.9800344451163,1,0,1,0,1,0,1
153,1,62.5075432385352,74.8165527165903,100.440155955337,15.7220791594815,8.48178906175428,4.53797136781404,4762.03221873636,62.0174858401952,1,1,0,1,0,0,0
154,3,40.8953144793888,52.8384975198564,57.2987423436611,16.038399911274,8.23774818839908,2.794529732499,11203.8495763773,47.8435162882277,2,0,1,1,0,0,1
155,2,37.9823201299162,40.2515412445747,56.4761425473263,27.80225737769,12.4299758604596,4.86427300928532,10675.2595740928,33.6616957018551,1,0,1,0,1,0,1
156,1,26.4262150802068,39.8235689485319,35.6509487653126,12.9966863920378,7.7313835832395,2.69980969601953,10610.2895298191,12.4921781611996,2,1,0,0,0,1,1
157,2,44.8835694933401,59.1577052764806,58.7370137132582,23.4310532252056,12.9972055594889,4.84100096121021,9457.28739460568,33.2234066374249,2,0,1,1,0,0,1
158,1,32.9957673307251,43.119865848758,47.933179540651,13.5223104078785,8.4753254492943,3.11331931052721,6586.71892146185,33.828824921712,2,1,0,0,0,1,1
159,1,36.9976150507434,38.0360753404065,57.9008475548358,3.24586819647422,0.205190721806829,-1.07014956437665,10848.8899814616,55.339427706,2,1,0,0,1,0,1
160,1,64.3151286837688,79.9184355558606,98.4636909436508,-1.36348944768212,-1.51421075821392,0.616385039126775,13543.1827738762,42.5148328867856,2,0,1,1,0,0,0
161,1,42.3671119463681,62.7132086196585,55.8863722185295,15.8981013070063,10.2798974570612,3.03823500378629,11721.2222866122,16.1466136151063,1,1,0,0,0,1,1
162,2,28.9232642377399,38.5822108251164,49.8410452820193,6.00450081138866,1.15804063386397,1.38864001787906,3857.55734494628,41.2722472533857,1,1,0,0,0,1,0
163,2,47.4481032370107,55.2575883593012,75.7801860822749,12.2518343020579,5.69153735786545,2.07071909132976,9424.03063187445,26.6863071860209,2,1,0,0,1,0,0
164,1,39.5589237655808,49.7290326950625,55.7179585726114,22.6622622002402,12.0386254778773,4.07841827822173,8037.03907396308,17.5892827732233,1,1,0,0,0,1,0
165,1,53.8502032198101,72.4522023677132,83.6449735989269,14.0830960640232,7.3320176169198,3.18737226731909,8261.29981185718,49.0284411587516,1,1,0,1,0,0,0
166,2,66.4863289159648,71.8549670989841,90.9299500786654,10.2774153231013,5.43251931926821,2.34070278278045,7452.89541871002,45.2204685890041,2,1,0,0,1,0,1
167,2,30.1096123333576,44.3108539841378,40.5961088355697,0.452540087345332,-0.602893602997686,-0.0145642253814662,4202.98920252405,33.1997273093319,2,1,0,0,0,1,1
168,1,51.8197544637042,52.8691732369215,81.9460224201106,7.19610534396052,4.43492613736438,2.01975975738269,8993.85173882222,55.2496601663449,1,0,0,0,1,0,0
